Study_Hours,Attendance,Assignment_Score,Previous_Test_Score,Final_Exam_Marks
7.0,72.0,84.0,75.0,74.9
5.7,74.0,64.0,65.0,63.5
7.3,87.0,85.0,70.0,78.7
9.0,86.0,91.0,87.0,89.5
5.5,80.0,80.0,72.0,71.0
5.5,81.0,98.0,71.0,74.6
9.2,93.0,66.0,52.0,74.8
7.5,74.0,60.0,80.0,69.8
5.1,85.0,54.0,78.0,61.3
7.1,78.0,93.0,98.0,89.6
5.1,78.0,83.0,66.0,63.6
5.1,91.0,74.0,73.0,68.7
6.5,88.0,78.0,73.0,72.5
2.2,88.0,61.0,91.0,67.1
2.6,93.0,100.0,69.0,68.2
4.9,80.0,77.0,74.0,73.9
4.0,87.0,76.0,78.0,66.1
6.6,77.0,84.0,72.0,75.0
4.2,83.0,81.0,64.0,63.2
3.2,79.0,78.0,73.0,72.5
8.9,81.0,66.0,84.0,75.4
5.5,86.0,81.0,57.0,70.7
6.1,72.0,98.0,72.0,76.6
3.2,100.0,91.0,61.0,71.0
4.9,70.0,94.0,86.0,71.5
6.2,68.0,69.0,50.0,62.6
3.7,92.0,63.0,63.0,63.7
6.8,88.0,73.0,75.0,75.1
4.8,86.0,76.0,90.0,77.0
5.4,86.0,88.0,69.0,81.9
4.8,80.0,55.0,63.0,59.8
9.7,71.0,93.0,94.0,81.8
6.0,81.0,73.0,51.0,66.5
3.9,73.0,70.0,41.0,66.7
7.6,90.0,63.0,76.0,73.4
3.6,79.0,55.0,63.0,65.0
6.4,72.0,85.0,57.0,76.0
2.1,77.0,76.0,79.0,58.9
3.3,84.0,60.0,73.0,64.1
6.4,74.0,59.0,63.0,72.3
7.5,72.0,71.0,53.0,67.3
6.3,82.0,95.0,81.0,77.5
5.8,82.0,72.0,78.0,69.4
5.4,75.0,57.0,69.0,60.0
3.0,75.0,72.0,94.0,62.8
4.6,82.0,72.0,56.0,59.1
5.1,66.0,43.0,50.0,54.5
8.1,66.0,74.0,61.0,68.1
6.7,73.0,72.0,69.0,71.1
2.5,78.0,83.0,73.0,56.5
6.6,83.0,97.0,67.0,78.4
5.2,95.0,89.0,75.0,79.4
4.6,89.0,72.0,54.0,57.4
7.2,78.0,62.0,89.0,76.4
8.1,80.0,100.0,69.0,86.4
7.9,70.0,76.0,85.0,72.0
4.3,80.0,75.0,74.0,73.5
5.4,77.0,75.0,76.0,71.2
6.7,83.0,77.0,77.0,72.5
8.0,72.0,73.0,76.0,75.0
5.0,85.0,68.0,78.0,71.7
5.6,95.0,68.0,87.0,75.7
3.8,79.0,75.0,73.0,67.1
3.6,84.0,68.0,79.0,61.8
7.6,87.0,66.0,69.0,75.7
